etablissement,adobe_acrobat_reader_dc_lecteur_de_fichiers_pdf,audacity_editeur_de_sons,bdnf_pour_realiser_des_bds_des_romans_graphiques_et_tout_recit_melant_illustration_et_texte,blender_dessin_3d,bluegriffon_editeur_html,cc_pdf_converter_generateur_de_fichier_pdf_gerant_les_licences_creative_commons,clam_chordata_pour_voir_les_accords_des_fichiers_musicaux,clavier_visuel_clavier_virtuel,cura_logiciel_d_impression_3d,fotowall_gestionnaire_de_photos,greenshot_capture_d_ecran,inkscape_dessin_vectoriel,l_outil_capture_d_ecran_propose_en_standard_par_windows_capture_d_ecran,libreoffice_base_base_de_donnees,libreoffice_calc_tableur,libreoffice_draw_outil_permettant_de_creer_des_graphiques,libreoffice_impress_outil_pour_creer_des_presentations_multimedia,libreoffice_math_editeur_de_formules_et_d_equations,libreoffice_writer_traitement_de_texte,movie_maker_montage_video,musescore_editeur_de_partitions,musinekit_logiciel_de_creation_musicale,notepad_editeur_de_texte_et_editeur_de_code_source,openshot_video_editor_montage_video,outil_capture_d_ecran_capture_d_ecran,paint_3d_modelisation_et_d_impression_3d,paint_logiciel_de_retouche_photos_et_images,pdf_creator_lecture_conversion_de_fichier_pdf,pencil_graphisme_et_animation_2d,photofiltre_7_gestionnaire_de_photos,scratch_initiation_a_la_programmation_informatique,shotcut_montage_video,silhouette_studio_logiciel_de_decoupe,sketchup_logiciel_de_conception_3d,vlc_media_player_lecteur_multimedia,windows_media_player_lecteur_multimedia,position.lon,position.lat
Germaine Tillion,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.2847432,48.8618192
Archives de Paris,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.4057527,48.8779551
Georges Brassens,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3268861,48.8350219
Benjamin Rabier,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3724595,48.8873166
Musset,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.2657172,48.8415767
Aimé Césaire,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.310555,48.8320357
Bibliothèque Marguerite Durand,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.3663928,48.8268092
Hélène Berr,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3974589,48.8425318
Sorbier,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3928351,48.8659605
Goutte d'or,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3541593,48.8841895
Bibliothèque de l'Ecole du Breuil,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.4572662,48.8235741
Gutenberg,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.278541,48.8402996
François Villon,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3708098,48.8772091
